"YEAR","PRJ_CD","SAM","AREA","SITE","LAT","LON","GR","GRDEP","GRTEM","SIDEP","EFFDUR","EFFSTART","EFFEND","SITRAN","SITEM","GRDEPMIN","GRDEPMAX"
2019,"LOA_IA19_GL1",1,"EB","EB01",44.067,-76.7751666666667,"GL6B",31.5,8.1,31,22.35,2019-06-17 12:12:00,2019-06-18 10:33:00,"10.5",12.1,30,33
2019,"LOA_IA19_GL1",2,"EB","EB01",44.067,-76.7751666666667,"GL6B",31.5,8.1,31,22.35,2019-06-17 12:12:00,2019-06-18 10:33:00,"10.5",12.1,30,33
2019,"LOA_IA19_GL1",3,"EB","EB01",44.067,-76.7751666666667,"GL6B",31.5,8.1,31,22.35,2019-06-17 12:12:00,2019-06-18 10:33:00,"10.5",12.1,30,33
2019,"LOA_IA19_GL1",4,"EB","EB02",44.0551666666667,-76.8415,"GL6B",31,6.9,30,22.65,2019-06-17 12:33:00,2019-06-18 11:12:00,"10.5",12.3,30,32
2019,"LOA_IA19_GL1",5,"EB","EB02",44.0551666666667,-76.8415,"GL6B",31,6.9,30,22.65,2019-06-17 12:33:00,2019-06-18 11:12:00,"10.5",12.3,30,32
2019,"LOA_IA19_GL1",6,"EB","EB02",44.0551666666667,-76.8415,"GL6B",31,6.9,30,22.65,2019-06-17 12:33:00,2019-06-18 11:12:00,"10.5",12.3,30,32
2019,"LOA_IA19_GL1",7,"EB","EB03",43.9715,-76.8236666666667,"GL6B",30,6.3,25,22.66,2019-06-17 11:14:00,2019-06-18 09:54:00,"11.0",11.8,29,31
2019,"LOA_IA19_GL1",8,"EB","EB03",43.9715,-76.8236666666667,"GL6B",30,6.3,25,22.66,2019-06-17 11:14:00,2019-06-18 09:54:00,"11.0",11.8,29,31
2019,"LOA_IA19_GL1",9,"EB","EB03",43.9715,-76.8236666666667,"GL6B",30,6.3,25,22.66,2019-06-17 11:14:00,2019-06-18 09:54:00,"11.0",11.8,29,31
2019,"LOA_IA19_GL1",10,"EB","EB04",43.9925,-76.6088333333333,"GL6B",29.8,8.7,27,22.11,2019-06-17 12:15:00,2019-06-18 10:22:00,"8.5",13.7,26.9,36
